Alloy_Name,B,C,N,Mg,Al,Si,P,S,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Nb,Mo,Ce,Gd,Ta,W,Re,Electrolyte,Cl_M,pH,Temp_C,Test_Method,Ref_Electrode,E_corr_mV,I_corr_uA_per_cm2,ba_mV_per_dec,bc_mV_per_dec,CR_um_per_y,Paper_Name,DOI,Notes
,0.0,,,,10.5,,,,0.0,0.0,20.2,,21.7,22.9,0.0,24.7,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-264.0,0.967,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and BCC; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,28.0,,,,49.0,11.0,0.0,,8.0,0.0,4.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-388.0,0.037,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,13.0,14.0,,,23.0,25.0,25.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-498.0,0.168,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,9.0,,,,0.0,0.0,21.0,,22.0,24.0,24.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-217.0,0.093,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and BCC; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,0.0,,,,0.0,0.0,23.0,,25.0,26.0,26.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-304.0,0.61,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and Intermetallic Compound rich in Cr; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,0.0,,,,8.0,0.0,21.0,,23.0,24.0,24.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-273.0,0.036,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,4.5,,,,0.0,0.0,17.2,,18.5,19.5,19.4,21.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-356.0,787.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,0.7,,,,4.4,,,,0.0,0.0,17.1,,18.3,19.3,19.3,20.9,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-362.0,1025.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,2.1,,,,4.4,,,,0.0,0.0,16.8,,18.1,19.1,19.0,20.6,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-389.0,2626.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,3.5,,,,4.3,,,,0.0,0.0,16.6,,17.8,18.8,18.7,20.3,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-400.0,2848.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,25.12,,24.58,24.9,25.92,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-260.0,0.0315,,,0.762,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 3.310e-04; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,16.48,,20.47,23.99,25.48,13.49,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-290.0,0.723,,,8.89,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 7.460e-03; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,16.25,,18.78,21.5,21.78,21.69,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-330.0,1.32,,,11.4,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 1.370e-02; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.1M NaCl,0.1,7.0,25.0,polarization,SCE,10.0,0.178,,,1.3,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1 M NaCl,1.0,7.4,25.0,polarization,SCE,-530.0,3.16,,,23.9,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.1M H2SO4,0.0,1.0,25.0,polarization,SCE,-60.0,10.7,,,81.0,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.5,25.0,polarization,SCE,-170.0,251.0,,,1899.6,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-560.0,6.4,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 350C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-300.0,1.58,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 500C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-40.0,0.529,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 650C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-640.0,0.305,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 950C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-540.0,2.22,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 800C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,0.0,,,,0.0,0.0,23.74,,23.99,27.12,25.14,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO4,0.0,0.0,25.0,polarization,SCE,-322.0,15.8,,,,"Yih-Farn Kao, Tsung-Dar Lee, Swe-Kai Chen, and Yee-Shyi Chang. Corrosion Science, 52 (2010), 1026-1034",﻿10.1016/j.corsci.2009.11.028,"Material class: HEA; ipass: 4.5e-06; Scan Rate: 1; Method: Anodic, Tafel ; Comments: None"
,0.0,,,,3.05,,,,0.0,0.0,22.48,,24.15,25.14,25.18,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO5,0.0,0.0,25.0,polarization,SCE,-336.0,16.7,,,,"Yih-Farn Kao, Tsung-Dar Lee, Swe-Kai Chen, and Yee-Shyi Chang. Corrosion Science, 52 (2010), 1026-1034",﻿10.1016/j.corsci.2009.11.028,"Material class: HEA; ipass: 7.1e-06; Scan Rate: 1; Method: Anodic, Tafel ; Comments: None"
,0.0,,,,5.59,,,,0.0,0.0,22.13,,22.8,25.25,24.22,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO6,0.0,0.0,25.0,polarization,SCE,-325.0,13.4,,,,"Yih-Farn Kao, Tsung-Dar Lee, Swe-Kai Chen, and Yee-Shyi Chang. Corrosion Science, 52 (2010), 1026-1034",﻿10.1016/j.corsci.2009.11.028,"Material class: HEA; ipass: 6.4e-06; Scan Rate: 1; Method: Anodic, Tafel ; Comments: None"
,0.0,,,,10.02,,,,0.0,0.0,21.11,,21.99,23.84,23.03,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO7,0.0,0.0,25.0,polarization,SCE,-335.0,13.1,,,,"Yih-Farn Kao, Tsung-Dar Lee, Swe-Kai Chen, and Yee-Shyi Chang. Corrosion Science, 52 (2010), 1026-1034",﻿10.1016/j.corsci.2009.11.028,"Material class: HEA; ipass: 1.39e-05; Scan Rate: 1; Method: Anodic, Tafel ; Comments: None"
,0.0,,,,0.0,,,,7.77,0.0,16.87,,18.12,28.68,28.56,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO4,0.0,0.0,25.0,Polarization,SCE,-333.0,30.0,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 9e-06; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,7.53,0.0,16.36,,17.57,27.81,27.7,,,0.0,3.02,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO5,0.0,0.0,25.0,Polarization,SCE,-312.0,78.0,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 9e-06; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.72,0.0,14.6,,15.68,24.82,24.72,,,0.0,13.47,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO6,0.0,0.0,25.0,Polarization,SCE,-305.0,72.0,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 1.1e-05; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.22,0.0,13.51,,14.51,22.96,22.87,,,0.0,19.94,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO7,0.0,0.0,25.0,Polarization,SCE,-311.0,69.0,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 2.2e-05; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,7.77,0.0,16.87,,18.12,28.68,28.56,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1M NaOH,0.0,14.0,25.0,Polarization,SCE,-787.0,0.09,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,7.53,0.0,16.36,,17.57,27.81,27.7,,,0.0,3.02,0.0,,0.0,0.0,0.0,Deaerated 1M NaOH,0.0,14.0,25.0,Polarization,SCE,-620.0,0.11,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.72,0.0,14.6,,15.68,24.82,24.72,,,0.0,13.47,0.0,,0.0,0.0,0.0,Deaerated 1M NaOH,0.0,14.0,25.0,Polarization,SCE,-898.0,0.16,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.22,0.0,13.51,,14.51,22.96,22.87,,,0.0,19.94,0.0,,0.0,0.0,0.0,Deaerated 1M NaOH,0.0,14.0,25.0,Polarization,SCE,-830.0,0.25,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,7.77,0.0,16.87,,18.12,28.68,28.56,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1M NaCl,1.0,7.0,25.0,Polarization,SCE,-684.0,0.57,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 1.46e-06; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,7.53,0.0,16.36,,17.57,27.81,27.7,,,0.0,3.02,0.0,,0.0,0.0,0.0,Deaerated 1M NaCl,1.0,7.0,25.0,Polarization,SCE,-622.0,0.13,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 3.8e-06; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.72,0.0,14.6,,15.68,24.82,24.72,,,0.0,13.47,0.0,,0.0,0.0,0.0,Deaerated 1M NaCl,1.0,7.0,25.0,Polarization,SCE,-734.0,0.2,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 4.1e-06; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,0.0,,,,0.0,,,,6.22,0.0,13.51,,14.51,22.96,22.87,,,0.0,19.94,0.0,,0.0,0.0,0.0,Deaerated 1M NaCl,1.0,7.0,25.0,Polarization,SCE,-792.0,0.41,,,,"Y.L.Chou, J.W.Yeh, and H.C. Shih. Corrosion Science, 52 (2010),2571-2581",﻿10.1016/j.corsci.2010.04.004,"Material class: HEA; ipass: 5.11e-06; Scan Rate: 1; Microstructures: FCC and sigma phase; Method: Cyclic, Anodic (Autolab); Comments: None"
,6.0,,,,14.0,16.0,,,0.0,0.0,0.0,,31.0,0.0,33.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,Sea Water 1:30,,7.2,25.0,"polarization,immersion",SCE,-922.0,10.0,,,,"Hong-lei Wang, Tai-Xiu Gao, Jia-zheng Niu, Pei-jian Shi, Jing Xu, and Yan Wang. International Journal of Minerals, Metallury, and Materials, 23 (1) (2016), 77-82.",﻿10.1007/s12613-016-1213-4,"Material class: HEA; Scan Rate: 3; Heat treatment: as-milled powders consolidated by SPS @520C for 10 min, heating rate 40C/min, 80MPa in Ar, cooled freely; Microstructures: FCC and BCC; Method: Anodic, Mass Loss; Comments: None"
,6.0,,,,14.0,16.0,,,0.0,0.0,0.0,,31.0,0.0,33.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,Sea Water 1:30,,7.2,25.0,"polarization,immersion",SCE,-272.0,10.0,,,,"Hong-lei Wang, Tai-Xiu Gao, Jia-zheng Niu, Pei-jian Shi, Jing Xu, and Yan Wang. International Journal of Minerals, Metallury, and Materials, 23 (1) (2016), 77-82.",﻿10.1007/s12613-016-1213-4,"Material class: HEA; Scan Rate: 3; Heat treatment: as-milled powders consolidated by SPS @1080C for 10 min, heating rate 40C/min, 80MPa in Ar, cooled freely; Microstructures: FCC and BCC; Method: Anodic, Mass Loss; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,23.63,24.99,38.03,0.0,13.33,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO4,0.0,0.0,25.0,polarization,SCE,-470.0,686.0,,,,"C.P. Lee, C.C. Chang, Y.Y. Chen, J.W. Yeh, and H.C. Shih. Corrosion Science, 50 (2008) 2053-2060.",﻿10.1016/j.corsci.2008.04.011,"Material class: HEA; ipass: 3.14e-05; Scan Rate: 1; Microstructures: FCC and alpha FeCr; Method: Cyclic, Anodic (Autolab), EIS; Comments: None"
,0.0,,,,3.55,,,,0.0,0.0,22.79,24.1,36.68,0.0,12.86,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO5,0.0,0.0,25.0,polarization,SCE,-435.0,2390.0,,,,"C.P. Lee, C.C. Chang, Y.Y. Chen, J.W. Yeh, and H.C. Shih. Corrosion Science, 50 (2008) 2053-2060.",﻿10.1016/j.corsci.2008.04.011,"Material class: HEA; ipass: 7.39e-05; Scan Rate: 1; Microstructures: FCC and BCC; Method: Cyclic, Anodic (Autolab), EIS; Comments: None"
,0.0,,,,5.0,,,,0.0,0.0,22.26,23.54,35.83,0.0,12.56,,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.5M H2SO6,0.0,0.0,25.0,polarization,SCE,-447.0,5080.0,,,,"C.P. Lee, C.C. Chang, Y.Y. Chen, J.W. Yeh, and H.C. Shih. Corrosion Science, 50 (2008) 2053-2060.",﻿10.1016/j.corsci.2008.04.011,"Material class: HEA; ipass: 6.82e-05; Scan Rate: 1; Microstructures: BCC; Method: Cyclic, Anodic (Autolab), EIS; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,23.0,,25.0,26.0,26.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.1M NaCl,0.1,7.0,25.0,polarization,SCE,-269.0,0.04,,,,"Shang, X., et al. (2018). Science China Technological Sciences 61(2): 189-196",﻿10.1007/s11431-017-9114-1,Material class: HEA; Scan Rate: 1; Method: Tafel; Oxide: Cr2O3; Comments: None
,0.0,,,,0.0,,,,0.0,0.0,23.0,,25.0,26.0,26.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.1M HCl,0.1,1.0,25.0,polarization,SCE,-222.0,208.0,,,,"Shang, X., et al. (2018). Science China Technological Sciences 61(2): 189-196",﻿10.1007/s11431-017-9114-1,Material class: HEA; Scan Rate: 1; Method: Tafel; Comments: None
,0.0,,,,3.5,,,,0.0,0.0,22.3,,23.9,25.2,25.1,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5wt% NaCl,0.6128,7.0,25.0,polarization,SCE,-180.0,0.0289,,,,"Shi, Y., et al. (2018). Corrosion Science 133: 120-131",﻿10.1016/j.corsci.2018.01.030,"Material class: HEA; ipass: 8.1e-07; Scan Rate: 1.67; Heat treatment: Annealed at 1250C for 1000hr, water quenched; Microstructures: FCC; Method: Tafel; Comments: None"
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5wt% NaCl,0.6128,7.0,25.0,polarization,SCE,-228.0,0.0714,,,,"Shi, Y., et al. (2018). Corrosion Science 133: 120-131",﻿10.1016/j.corsci.2018.01.030,"Material class: HEA; ipass: 1.24e-06; Scan Rate: 1.67; Heat treatment: Annealed at 1250C for 1000hr, water quenched; Microstructures: FCC, disordered BCC, Ordered BCC; Method: Tafel; Comments: None"
,0.0,,,,7.7,,,,0.0,0.0,21.3,,22.9,24.1,24.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5wt% NaCl,0.6128,7.0,25.0,polarization,SCE,-258.0,0.267,,,,"Shi, Y., et al. (2018). Corrosion Science 133: 120-131",﻿10.1016/j.corsci.2018.01.030,"Material class: HEA; ipass: 2.03e-06; Scan Rate: 1.67; Heat treatment: Annealed at 1250C for 1000hr, water quenched; Microstructures: FCC, disordered BCC, Ordered BCC; Method: Tafel; Comments: None"
,0.0,0.0165,0.0011,,0.0,,,0.001,0.0,0.0,18.4,,19.98,20.67,40.84,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5wt% NaCl,0.6128,7.0,25.0,polarization,SCE,-290.0,0.129,,,52.0,"A.A. Rodriguez, J.H. Tylczak, M.C. Gao, P.D. Jablonski, M. Detrois, M. Ziomek-Moroz, J.A. Hawk, Advances in Materials Science and Engineering, 2018 (2018) 11.",﻿10.1155/2018/3016304,Material class: HEA; Scan Rate: 1; Method: Tafel; Comments: None
,0.0,0.016,0.0009,,0.0,,,0.001,0.0,0.0,16.95,,18.46,18.99,37.81,,,0.0,7.64,0.0,,0.0,0.0,0.0,3.5wt% NaCl,0.6128,7.0,25.0,polarization,SCE,-260.0,0.125,,,48.0,"A.A. Rodriguez, J.H. Tylczak, M.C. Gao, P.D. Jablonski, M. Detrois, M. Ziomek-Moroz, J.A. Hawk, Advances in Materials Science and Engineering, 2018 (2018) 11.",﻿10.1155/2018/3016304,Material class: HEA; Scan Rate: 1; Method: Tafel; Comments: None
Ni,,,,,,,,,,,,,,,99.9,,,,,,,,,,3.5% NaCl,0.5989,,25.0,Potentiodynamic,SCE,-288.0,0.139,129.0,-175.0,,Ni Corrosion Product Layer During Immersion in a 3.5% NaCl Solution: Electrochemical and XPS Characterization,10.4152/pea.201703127,
Ni,,,,,,,,,,,,,,,99.9,,,,,,,,,,3.5% NaCl,0.5989,,25.0,Potentiodynamic,SCE,-315.0,0.522,167.0,-154.0,,Ni Corrosion Product Layer During Immersion in a 3.5% NaCl Solution: Electrochemical and XPS Characterization,10.4152/pea.201703127,
Cu-10Ni,,,,,,1.67,,,,,,0.768,88.24,,9.27,,,,,,,,,,3.5% NaCl,0.5989,,25.0,Potentiodynamic,SCE,-287.9,45.91,80.7,-186.2,531.7,Comparative Study of Electrochemical Corrosion of Novel Designs of 90/10 and 70/30 Copper-Nickel Alloys in Brine Solutions,10.4152/pea.202003127,
Cu-10Ni,,,,,,1.67,,,,,,0.768,88.24,,9.27,,,,,,,,,,10% NaCl,1.7112,,25.0,Potentiodynamic,SCE,-321.2,119.94,115.2,-248.2,1389.0,Comparative Study of Electrochemical Corrosion of Novel Designs of 90/10 and 70/30 Copper-Nickel Alloys in Brine Solutions,10.4152/pea.202003127,
